V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24
27,56879571;0,198928531;27,58087722;20,55785895;14,89221197;33,1292;41,6240451;11,63635906;9,905517827;31,77903247;13,37139904;26,1455697;1,622513557;20,75125513;50,58098083;50,51252403;40,44714796;11,63635906;14,3111764;21,16350506;30,66876788;19,72643955;30,06409547;37,98615664
17,13359435;29,90843004;20,32516583;0,465693784;0,652881653;33,1292;47,44035396;43,62890132;21,54108336;47,73987689;29,57497983;28,35708747;34,25046759;16,68686466;44,26733499;20,80365938;6,234592039;43,62890132;25,67493051;3,948391199;27,88815619;4,68991781;11,30330919;19,51845587
33,07597134;13,19459324;28,08712962;14,41515281;1,827085729;33,1292;29,67611775;2,312625449;49,91257651;50,94036645;42,97292882;41,82318916;30,526397;33,42050601;3,491242663;7,01238692;0,905063325;2,312625449;19,41658949;21,69901343;27,22761147;10,61825219;35,12233427;50,66765161
9,171150639;6,814092584;28,69925161;10,09708358;13,49204886;33,1292;35,5601648;27,06472704;9,408747615;1,43018473;40,0720181;2,658219814;30,41586457;11,9010876;49,88438574;12,61493161;11,11132773;27,06472704;27,72141214;0,419809917;27,78192688;0,198720482;50,1180786;7,288765692
30,87464226;3,338781895;23,90554848;21,72495113;32,82577802;33,1292;45,16030507;46,39048998;16,86801293;11,08599693;22,16105927;28,01105922;22,61828884;11,39859656;24,77177965;11,50131109;20,09140973;46,39048998;27,82090146;18,8260994;17,52381011;10,11621005;1,231138056;30,44044287
23,04098924;8,06131921;18,27254754;22,51594119;29,6533608;33,1292;31,10117511;35,03945686;18,16253685;38,64387438;39,34667394;46,5729222;31,75833562;12,00141266;2,047198661;26,48617649;47,51881166;35,03945686;3,960028114;29,25229103;1,158751373;5,695670978;26,09966331;26,99633368
13,21941129;28,98541617;24,10412136;8,387427782;29,81358842;33,1292;29,26060309;48,18474824;45,0496665;32,17826276;37,98830855;50,45606158;18,69110858;46,91783958;32,0710577;5,254354898;38,51240831;48,18474824;8,142351058;9,7997053;22,41737877;15,42953218;6,897193331;48,54649786
9,751535069;26,192367;7,309820079;26,73943526;11,41108882;33,1292;21,87506098;2,167755489;23,35534358;37,70270424;13,36988123;8,489171863;48,4820779;20,44864271;17,77648754;0,638601637;34,23774098;2,167755489;30,3455546;4,287144608;21,35020808;25,30004877;31,37426415;19,2910082
2,617103537;11,69752968;9,323860784;4,933994996;4,359438441;33,1292;43,42532082;49,15475268;2,85698205;16,17948827;0,73068134;40,03499351;7,289957403;14,44438883;2,740186511;10,04897138;43,55584867;49,15475268;4,263916689;19,48282801;0,008836917;2,376959345;10,38308099;15,16356794
31,26104747;4,499197377;3,787977736;15,35961791;0,521972894;33,1292;40,38080471;26,14903847;49,06548789;50,5301665;42,16232423;38,27859344;27,28581186;30,77238522;33,30454512;11,79214793;5,39240257;26,14903847;32,89316127;8,521698058;0,107317565;20,72495089;24,10336163;13,95165859
